Title,Description,Outlet,Type,Category,Deadline,Client
Forbes Women Founders Feature,Feature spotlight highlighting women founders and entrepreneurship,Forbes,feature,PR,2025-12-15,Throne Society
TechCrunch News Brief,Company news coverage and product launch announcement,TechCrunch,news,PR,2025-12-20,Throne Society
The Verge Product Review,In-depth product review and analysis,The Verge,article,PR,2025-12-10,Glow Up
NPR Marketplace Interview,Interview discussing market trends and industry insights,NPR,podcast,PR,2025-01-05,Throne Society
CNBC Panel Discussion,Executive panel on innovation and leadership,CNBC,panel,Speaking,2025-12-28,Glow Up
Vogue Beauty Feature,Fashion and beauty industry spotlight,Vogue,feature,PR,2025-12-22,Throne Society
Wall Street Journal Op-Ed,Opinion piece on technology and business,Wall Street Journal,article,PR,2025-01-08,Glow Up
Entrepreneur Magazine,Cover story on startup success,Entrepreneur,feature,PR,2025-12-18,Throne Society
TED Talk Speaking Opportunity,Speaking engagement on industry trends,TED,speaking,Speaking,2025-01-15,Glow Up
Business Insider Roundup,Expert commentary in industry roundup,Business Insider,news,PR,2025-12-25,Throne Society
