Title,Description,Outlet,Type,Category,Deadline,Client
Fast Fashion Sustainability Report,Investigative piece on sustainable practices in fast fashion,The Guardian,article,PR,2025-12-10,Throne Society
AI Ethics Panel Discussion,Executive roundtable on responsible AI development,Wired,panel,Speaking,2025-12-28,Glow Up
Beauty Industry Trends Podcast,Interview about emerging beauty tech and wellness trends,Into The Gloss Podcast,podcast,PR,2025-12-05,Glow Up
Corporate Social Responsibility Feature,In-depth coverage of CSR initiatives and impact,Harvard Business Review,feature,PR,2026-01-12,Throne Society
Founder's Story Profile,Personal narrative and business journey feature,Marie Claire,feature,PR,2025-12-15,Glow Up
Tech Innovation Conference Speaking,Keynote address on digital transformation,CES 2026,speaking,Speaking,2026-01-10,Throne Society
Startup Ecosystem Analysis,Market research and analysis piece,Forbes,news,PR,2025-12-20,Glow Up
Live Event Coverage,Red carpet and event coverage opportunity,Vogue,event,Event,2025-12-12,Throne Society
Industry Expert Commentary,Expert quotes in monthly industry roundup,Business Insider,news,PR,2025-12-08,Glow Up
Leadership Strategies Interview,C-Suite interview on modern leadership,Inc Magazine,article,PR,2025-12-18,Throne Society
Digital Marketing Webinar,Educational webinar on marketing trends,HubSpot,speaking,Speaking,2025-12-22,Glow Up
Environmental Impact Story,Feature on environmental initiatives,National Geographic,feature,PR,2026-01-05,Throne Society
Women in Tech Panel,Industry panel discussion on gender diversity,TechCrunch Disrupt,panel,Speaking,2026-01-15,Glow Up
Luxury Market Analysis,Editorial coverage of luxury consumer trends,Luxury Magazine,article,PR,2025-12-25,Throne Society
Podcast Guest Appearance,Guest host on marketing and brand podcast,The Growth Show,podcast,PR,2025-12-14,Glow Up
Innovation Awards Coverage,Feature on tech innovation awards,The Verge,news,PR,2025-12-30,Throne Society
Brand Storytelling Feature,Long-form brand narrative piece,Medium,article,PR,2026-01-02,Glow Up
Executive Interview Series,Exclusive leadership interview,LinkedIn News,feature,PR,2025-12-19,Throne Society
Market Research Release,Press coverage of new market research,Axios,news,PR,2025-12-11,Glow Up
Speaking Engagement - Tech Summit,Presentation on technology adoption,Web Summit,speaking,Speaking,2026-01-20,Throne Society
